Demográfica;Número de Hogares (Renta);Renta de mercado ampliada;Renta Bruta (Renta);Renta Disponible;Renta disponible extendida;Año;Impuestos Directos;IRPF;Impuesto de Patrimonio;Impuesto sobre Sociedades;Cotización social trabajadores (*);Cotización Social Empresas y SEPE;IBI;Impuestos Indirectos;IVA e ITPAJD;II.EE. e I. Primas de Seguros;I.E. Bebidas Alcohólicas;I.E. Labores del Tabaco;I.E. Hidrocarburos;Prestaciones monetarias;Impuestos totales;Prestaciones en especie;Jubilación;Superviviencia;Desempleo;Invalidez;Ingresos Asistencia social;Resto de prestaciones;Prestaciones en especie. Sanidad;Prestacones en especie. Educación
9. Monoparental con al menos 1 hijo;657063.0;28994.0;33343.0;20409.0;30788.0;2021;10005.532068527931;3188.376839976475;1.9999956004786885;174.9658705989683;1452.7141682216043;5187.47520348935;226.37699890600186;2928.156600529982;2499.0582198114244;429.0983810768184;15.55799850134978;130.19826085986884;210.8718148496677;4348.848614696965;12933.688681005455;10378.879690900825;367.443517904777;1098.4622810458727;1274.8480300131594;292.5774447929601;530.3402346917561;785.1771013818609;3414.8195969869153;6964.06009568125
10. Otros hogares;3229465.0;53413.0;68898.0;45361.0;55238.0;2021;19343.36721216095;6254.243537021173;60.66958800259498;425.94081191327143;2910.201425359851;9692.311853385398;310.0095257817461;4194.081918634714;3286.4864566473425;907.595463380849;23.948568828141816;296.6017354855522;470.70985206162834;15485.366235299372;23537.449145893734;9877.432824118488;9500.404591710643;1243.9433526667074;2582.165294274265;1462.1196103222348;189.3107577322672;507.42263569526176;7080.909944226006;2796.5228795019084
1. Una Persona > 65 años;2218441.12751;8962.82788932461;26773.73349810388;21561.850694660723;25480.97575728556;2022;3693.216867061866;2609.648732068843;57.84011337976487;617.5127020469293;108.74666270968336;299.4686560868404;259.7921783894768;1518.6659669580952;1409.9736944718707;108.69227225999121;4.462498681345356;12.3880067499766;37.56094860946709;17810.9056329498;5211.882835194045;3919.1250679063373;11844.814115040987;5814.384900808828;50.329137737018115;0.0;58.0;43.0;3919.1250679063373;0.0
2. Una persona entre 30 y 65 años;2763976.06261;30723.039222896277;33841.17453242256;20184.352632526436;21793.066473666702;2022;11732.71520475496;4090.206602728008;8.667335460028584;178.80985444820013;1628.705863840356;5826.325545178701;203.63971680549594;1924.1066986501435;1736.1034826082112;188.0032143249914;5.70262499724732;41.33599300734294;96.36261754435051;3118.1353250493885;13656.821907000907;1608.713832884105;586.7487536012546;437.5499431145274;741.0734612848487;849.606550850112;294.0;209.0;1558.3540799809084;50.35975290319666
3. Una persona < 30 años;242184.93219;21124.89502756695;22488.27369590743;13210.40778367657;15493.336417288572;2022;7650.980165750354;1855.6566211503882;-2.87599331614378;14.589729578664585;1119.5868383934078;4664.02296811663;49.58511763159083;1626.88578881825;1421.4682372709137;205.4175495869695;8.014500917874463;70.81360209450533;104.23622355204465;1363.3786158184714;9277.865936147708;2282.9286384122092;265.21028204624247;311.96161370643114;352.42977048435006;57.935561708220746;102.0;273.0;1302.452846653127;980.4757917590828
4. Pareja sin hijos al menos 1 > 65 años;2856205.35845;21421.780594865955;49130.973655069654;37766.61921385539;44616.69658955282;2022;8617.017879068802;5178.061850758607;96.0579779346298;946.1039750216142;618.6334589720478;1778.1606144663908;346.78814027616403;2747.336544679491;2371.095428221653;376.2411151297647;11.312898590756541;94.40334469357093;184.76521986609652;27709.193059579688;11364.354428272523;6850.077398086015;24670.722993686864;1930.7541725845335;381.22807210706753;421.04655799755835;122.0;184.0;6810.517562715757;39.55983537025774
5. Pareja sin hijos ambos < 65 años;2484198.64302;56548.67789444327;61243.57437967929;36637.46930426502;40037.53781670504;2022;21199.746539445445;7108.132145490557;25.297395513638147;292.6129124978915;3036.6244291756234;10737.079649036563;251.55895256415246;3406.358547521753;2875.179559211723;531.1789883642557;17.24920910067252;150.68905264634068;287.5832475392067;4694.8964429130565;24606.10507450509;3400.0685117506528;1264.8700691950953;362.69021184589474;1378.5706755939573;1127.7779798628571;126.0;435.0;3114.7938162339356;285.2746955559096
6. Pareja con 1 hijo;1935214.61326;61952.00554610445;66742.62046603601;40793.00963864019;50404.49583278904;2022;22076.432446568768;6966.123847076833;27.95327687930022;553.1649484469214;3162.987332371332;11366.203045363698;292.66567724109416;3873.1784119437116;3240.444529218995;632.733880714632;23.381198640549474;176.4295574218972;345.54297134812856;4790.614858586407;25949.61086112851;9611.486211059191;980.7162890725907;360.8474423318747;1445.4923738952282;697.0586249061054;272.0;1035.0;4831.120209768873;4780.366001032779
7. Pareja con 2 hijos;2066698.36139;72474.10701320013;75893.6216014664;45810.33882363849;61738.949374285046;2022;25547.587352545204;8619.666389770686;26.816521569233068;578.3547184978246;3637.370878823864;12685.378829352618;335.69403567818927;4535.695429214981;3796.103638592899;739.5917852422177;26.154921885992017;184.83599376492205;429.8998649721942;3419.5147264006564;30083.282813816204;15928.610532566;132.81902547538462;101.42280611793021;1257.1653724705411;685.5207386082421;198.0;1045.0;5956.183176011078;9972.427356547936
8. Pareja con 3 o más hijos;564016.81916;69498.78130391243;73800.95805779462;46106.98729255207;69664.47065522813;2022;22867.055563477526;8550.42072424414;35.37466537048489;938.0398818839328;3216.907395868948;10126.312951689728;267.7076415871683;4826.915002968322;3990.572266861552;836.3427426676603;28.613124596130888;202.62238225666454;519.6642925412102;4302.176811107208;27693.970590195433;23557.48349021688;114.24584789032978;96.58369285796353;1270.783706767808;573.4800134760192;971.0;1276.0;7785.316928595474;15772.166560917745
9. Monoparental con al menos 1 hijo;704704.45319;29514.476909992445;33454.67474573349;20329.27832358479;31364.04849614701;2022;10327.869718241427;3154.892723892203;0.0;75.03871542165913;1508.814698418027;5576.184450486346;232.94956387667324;2797.5267187891563;2428.851647990191;368.67506739044666;10.565547373545355;93.48756902692529;207.97578668806707;3940.197843832856;13125.396436668147;11034.770158181414;363.2484633402819;1039.1963691927851;843.9287139589014;277.94957835486184;644.0;772.0;3672.1535694998947;7362.616586672085
10. Otros hogares;3313368.63056;60965.28552393392;76590.34599600485;49932.38094621428;60396.19941707049;2022;22228.698404958704;7212.463265310424;52.05439745134363;508.3231019249033;3291.1140634265;11164.7436063005;308.0904612091892;4429.26664885564;3580.7854216766505;848.4812219536756;29.641766567321085;255.8614611581891;463.88693859757564;15625.060445237248;26657.965087979424;10463.818464770991;9991.444756332437;1327.7956231303174;1963.0085076643481;1450.5262173490107;164.0;728.0;7304.304199931518;3159.5142661879327
1. Asalariado;10545563.80699;57205.98182054778;61249.18533163101;36681.10919084537;44802.8194157217;2021;21019.560761583358;6704.703325769532;30.410467120286558;313.90116412747204;2788.1110525835256;11182.434741886927;274.1305143291009;3548.515387317368;2905.9145475080068;642.6008400858049;20.23526830028005;183.36480180848258;343.5899635101258;4043.203521291869;24568.076143974224;8121.710221158875;1129.1980763587608;470.3518950449886;1486.0539351351408;387.7431800710336;56.98887457831846;512.8675622685221;4285.814747088243;3835.895474589503
2. Autónomo;990379.66631;48546.932178987685;51963.63078730247;35080.67706187679;43815.40987982344;2021;13455.428888173274;6187.473365285886;52.597642823280665;348.0168592022785;4774.050430148243;2093.290587418714;305.29413663428227;3427.5247565880495;2800.0273926297705;627.4973591168152;21.649520833018013;185.65810632728565;321.83594765846703;3416.698735830418;16882.953695135984;8734.732796223603;1044.1530962892423;349.7873534807902;1153.6525789699535;242.44419898042443;63.74768122495784;562.9138293437012;4409.9658384379745;4324.766959803242
3. Pensionista;5997819.05261;8644.978405327704;32806.47662315232;25848.112019550314;31910.36663270895;2021;4629.426245861067;2987.4825309536827;65.04156216371787;294.6233365692393;336.0086082519075;946.2702056477826;294.87793216087084;2328.9383897019447;1984.7359739394574;344.20241643618397;11.951880635806276;80.817149231872;164.57949660291865;24161.498219661218;6958.364640555669;6062.25460728336;18546.998271257544;3242.6615698675037;499.30420116884375;1612.650809044341;115.66572065011022;144.21764700770856;5598.706572993131;463.54803434503276
4. Perceptor de rentas de la propiedad;243330.40645;103558.9899569225;111341.00099240681;90919.11006272037;96623.5570100082;2021;17902.541882353387;5804.349167860559;331.51566127851436;8339.789672286484;1224.3512709724769;2202.5361504826874;478.3119495072869;2519.3490204746554;2115.280952803209;404.0680639071764;10.206604852982931;156.91316012719236;154.82376846273607;7782.01111985317;20421.890713216388;5704.446970737038;4806.979378025331;1464.4647711123732;862.7114230004228;422.07070035827616;11.430765089075452;214.35412304192147;4556.872201638201;1147.574767484385
5. Perceptor de subsidios;963058.45838;10478.7492804229;22008.054077318004;15243.693457721143;22885.203737779517;2021;4260.247163746924;687.8846533658764;7.767408908744949;36.94419442200928;1183.750383394772;2343.900528910434;168.32668035043193;2504.113463019542;2105.184737099263;398.9287225419698;11.128364423948645;138.05855959769136;183.40338735518105;11529.304817787139;6764.360630432066;7641.510303348977;373.86605386715644;174.80654774998436;7514.141551741105;216.0634767035985;2277.934351751584;972.4928419703983;3849.0505810780296;3792.4597218557587
6. Perceptor de transferencias de hogares;83776.5042;8328.610040543785;10500.992658392985;7177.044254796419;13348.424823099695;2021;1666.5870764977578;71.90586103799669;0.3938580830159256;14.141065263130132;1143.7887981317144;436.35749012326255;216.80589029256728;1657.3613178000992;1377.0266405596146;280.3346842556393;7.135172530499093;131.80152011787936;93.55596617426764;2172.3826389271962;3323.9483757019198;6171.380577384608;438.85157629525435;56.17850561468044;957.2274300507646;27.766853690500493;321.21101496292084;371.14726283892907;2915.2704156866694;3256.110161697938
1. Asalariado;11080433.00278;62116.2095708535;66159.28002169555;39643.49513373194;48103.408243480466;2022;22813.011106864687;7390.225954577483;30.44280239245626;379.61087277825476;2989.698755976012;12023.032729105124;273.134554046661;3702.77376851756;3105.2261607433015;597.547605399107;20.408670316362464;163.14739565057585;332.6373840294813;4043.0704678940965;26515.784894356933;8460.0;1291.3466967942816;520.750848517817;1073.9514545839056;392.07379351479744;80.22284505374043;684.7248254557749;4473.442510292196;3986.4706059796404
2. Autónomo;1026276.00348;54196.0562330464;57332.89555231867;38489.62603985395;47651.61621268824;2022;15302.130354248604;7229.168228202118;56.01255630123647;656.8640923756535;5101.962581138174;2258.1228812459954;297.9251943450303;3541.139145934335;2972.5002470959876;568.6388919515718;18.310732966524988;139.61824202555363;332.9442843351862;3136.839404344876;18843.269501015442;9162.0;1209.372146488349;316.0095099442703;684.7029906068623;216.39284762084304;61.69503519122398;648.6668816914445;4612.462382730455;4549.527801738406
3. Pensionista;5833112.23517;10783.339379047115;37169.221623838675;29160.070491872448;35462.79463202368;2022;5579.126796124862;3548.083236714141;61.18903697162849;430.2654646211243;398.9787843867577;1140.610274371411;304.28249861120355;2430.0243618111067;2102.543539377905;327.48082131767256;10.994068823210066;82.08781297251254;160.21021193014576;26385.88222586453;8009.151158976043;6303.0;20583.024133407565;3457.571126329964;439.61913402874995;1613.858610050167;101.61069484616674;190.19852492734375;5866.699260622342;436.02488435736876
4. Perceptor de rentas de la propiedad;220063.93015;124444.07826327963;133233.41041933035;109134.60436829216;114922.19482538973;2022;21388.76854468131;6915.314352682714;343.74485191861726;10982.24977283626;1261.0234464685623;1886.436152755942;412.8815866025739;2710.0377485219506;2391.5069219335924;318.53082921456433;8.640685995175875;50.27611546795347;192.00732426980514;8789.331692490501;24098.8061948084;5788.0;5540.5799967502135;1401.5790073097173;630.220611456879;670.7233668131888;334.2893767560063;211.93928388146702;4455.86297786439;1331.7274534577018
5. Perceptor de subsidios;750823.45925;11115.113741832542;22492.66720264586;15842.301584858466;24207.383851579256;2022;4138.840004547323;800.0663175764867;0.8082858197267073;27.786699467604734;845.647015290594;2464.531672164355;161.991502950219;2511.525609422001;2142.7836168061685;368.7419915477911;15.706742446553417;138.0196196876718;167.74287701242994;11377.553499669422;6650.365602150077;8365.0;416.0855020581458;122.52771324275987;6145.640566014264;424.21566643024687;3279.8741309838547;989.2099131932742;4011.5123608330837;4353.569887138385
6. Perceptor de transferencias de hogares;88296.6359;8273.496907746236;10180.416309942933;7114.159104862932;14619.21312838466;2022;1461.5866840671258;189.7868417798534;8.10471241123536;11.522968482220696;803.6380747705269;448.5340806560671;161.7384458112747;1604.670484425616;1444.1979845124638;160.47250625200462;2.9396444442517944;46.884793086236506;75.99887927679531;1906.9193987167312;3066.257165871747;7505.0;264.9667831377594;343.598960543875;567.5052726210118;128.66780813519082;299.5175079227566;302.66306205296917;3135.823920542595;4369.230101458134
Edad entre 17 y 30 años;835089.09571;37582.48147587567;42458.80722547213;26122.17796055014;32331.74775283423;2021;13250.564852083337;3078.059336950795;25.404826802636382;58.93238629080758;2213.7109854077844;7874.457327008215;161.4882908206379;3086.0643795114024;2492.3295866017784;593.7347922606986;18.083023432370048;209.46933243613668;288.8459041100356;4876.325800474655;16336.629212475063;6209.569809218684;1052.4261228435803;545.175474514556;2100.76558290307;410.32689550818344;250.04640827801066;517.585339158688;4070.196524410213;2139.3732859034703
Edad entre 30 y 40 años;2890146.09625;44803.45192827273;48648.86925122143;29372.122537388;36616.30953987919;2021;16129.292146031697;4546.563741372023;13.402505550824987;148.85000318430815;2438.9426312048595;8981.533238388352;196.75128886499107;3147.4545444544856;2584.5858298535304;562.8687168774169;19.207347127997554;173.8309968580719;286.12501100556176;3845.417329427317;19276.74669249757;7244.186988758013;764.2448638915981;215.38382021491725;1734.1450040370673;235.95044902531023;169.22864526243148;726.4645532285044;3883.9001583806044;3360.2868304588974
Edad entre 40 y 50 años;4162375.69907;50332.68801484564;54674.27749137093;33222.696660063615;42778.23163984428;2021;17989.342510243074;5771.215130397854;22.64431188435523;211.8277668718057;2689.8216462785567;9293.833639748484;265.22795373265603;3462.23835212757;2835.9649473300033;626.2734035990691;19.860954418428225;169.32230981574835;343.58037239345515;4341.589509065142;21451.580855653836;9555.534977885898;937.2459851783909;325.6476044456999;1705.618652135449;635.1115680942034;251.9024546826316;486.0632452018242;4286.732681195524;5268.802297591432
Edad entre 50 y 65 años;5515268.40389;53487.728366627205;61434.907366393134;38395.33504975846;45830.465250576526;2021;19537.54247825558;6816.153363386795;43.45898187635109;533.0438429867036;2801.165145539693;9343.721148725015;323.3828461489636;3502.029862280462;2874.2313931868425;627.7984669272647;18.589383453908553;178.97058736337488;331.99643042726115;7947.179003713555;23039.572334621134;7435.130205308786;2471.250821194475;1004.2818744083452;2037.7651732441254;1735.341604937376;221.7132799011676;476.8262530923016;4404.074138394141;3031.056067227976
Edad entre 65 y 85 años;4642283.00743;14628.600702415068;38789.45902213794;30194.2191161455;36235.80921559936;2021;6192.7812195108445;3912.331998831544;79.40646015102787;638.6841445076655;429.41078664944934;1132.9478292198241;319.06381189924565;2402.458691328982;2056.7760548031983;345.6826381182907;12.484124089330288;84.52467322971032;158.7938524707803;24160.85833796107;8595.239923203804;6041.590096656072;20635.53401572822;2653.3893341699754;429.15380401722774;204.06879948127744;113.61750452857873;125.09487621630484;5727.45772408095;314.1323727170916
Edad  mayor de 85 años;880090.48721;6625.029240039833;23481.695447007427;19146.03264019456;25214.976681439035;2021;2647.4734579181086;1579.3851523623935;78.26648730052023;248.9178328872017;187.87873493192376;553.0252485614723;233.57240615206172;1688.1893607295085;1478.9159679759687;209.27339481618085;7.779809968189575;32.29071223233109;100.00372690175153;16856.666189107877;4335.662814052897;6068.943989748775;10591.57923452338;5673.993507937765;262.93493173994455;145.6634494317504;87.11963831607417;95.37542582649284;5884.539770470075;184.40421927869912
Edad entre 17 y 30 años;928666.59876;45114.92234778248;49828.52044476053;31381.28235166245;37789.35477504713;2022;15359.280889202097;3492.5425235812445;20.183250517399564;512.3412967417679;2564.9134246309964;8769.30039307165;134.72047354303837;3087.9571293506333;2562.4949995961592;525.4621328000324;21.461464708969125;153.85440017788918;288.9195827627132;4713.598084812146;18447.23803972161;6408.072418815735;1146.5145335640204;590.4428168834928;1435.3761469531123;486.26346747593294;421.7854507266394;633.2156737002714;3999.1093105833525;2408.9631077965855
